1ha0,3ku5,558.0
1ha0,3ku6,554.0
1ha0,4bse,602.5
1ha0,3ku3,548.0
1ha0,4fp8,1399.0
1ha0,4jug,607.5
1ha0,4fqv,604.5
1ha0,4juh,607.5
1ha0,4juk,551.0
1ha0,4juj,607.5
1ha0,4jum,556.0
1ha0,4jul,544.0
1ha0,4o5n,1367.0
1ha0,4jun,554.0
1ha0,1ken,1690.0
1ha0,4ln3,593.5
1ha0,4gxu,607.5
1ha0,4bh2,577.0
1ha0,4bh3,577.0
1ha0,4bh0,543.5
1ha0,4bh1,543.5
1ha0,2yp7,1399.0
1ha0,4bh4,577.0
1ha0,2yp4,1404.0
1ha0,4uo0,1478.0
1ha0,3m6s,585.5
1ha0,4uo2,1478.0
1ha0,4uo3,1482.0
1ha0,4m5z,275.5
1ha0,3vun,1683.0
1ha0,4uo6,1455.0
1ha0,4uo7,1455.0
1ha0,4lkg,586.5
1ha0,4n5y,590.0
1ha0,4n5z,584.0
1ha0,4bsh,610.5
1ha0,4lki,597.5
1ha0,4lkh,586.5
1ha0,4lkk,597.5
1ha0,4kwm,560.0
1ha0,1hgf,1690.0
1ha0,2ibx,577.0
1ha0,1hgd,1682.0
1ha0,1hge,1682.0
1ha0,4fiu,437.5
1ha0,4lcx,586.5
1ha0,1hgj,1690.0
1ha0,1hgh,1690.0
1ha0,1hgi,1690.0
1ha0,3eyk,1005.0
1ha0,4kon,603.5
1ha0,3eyj,1005.0
1ha0,3ztj,1690.0
1ha0,4lkj,597.5
1ha0,2yp8,1399.0
1ha0,3m5j,606.5
1ha0,4kw1,570.0
1ha0,3uyw,272.5
1ha0,3ubq,561.5
1ha0,3uyx,276.0
1ha0,3ube,561.5
1ha0,2ypg,1690.0
1ha0,3eym,1690.0
1ha0,3m5i,606.5
1ha0,3m5h,606.5
1ha0,3ubn,561.5
1ha0,4uoa,1458.0
1ha0,4bsi,610.5
1ha0,3ubj,561.5
1ha0,4kth,557.0
1ha0,3gbm,583.0
1ha0,3gbn,607.5
1ha0,4gms,1583.0
1ha0,3r2x,600.5
1ha0,2hmg,1683.0
1ha0,4kdo,577.0
1ha0,4kdn,577.0
1ha0,4kdm,577.0
1ha0,4unx,1494.0
1ha0,4kdq,562.0
1ha0,3al4,553.5
4eef,4cqp,1036.0
4eef,4cqq,1036.0
4eef,4cqr,1036.0
4eef,4cqs,1044.0
4eef,4cqt,1036.0
4eef,4cqu,1044.0
4eef,4cqv,1031.0
4eef,4cqw,1031.0
4eef,4cqx,1031.0
4eef,4cqy,1031.0
4eef,4cqz,1039.0
4eef,4lvh,934.5
4eef,4jtv,1471.0
4eef,4f23,774.0
4eef,4f3z,1491.0
4eef,4hmg,614.5
4eef,4cyz,616.0
4eef,3fku,1050.0
4eef,3mlh,899.5
4eef,4cyv,616.0
4eef,4cyw,616.0
4eef,3htq,1617.0
4eef,3htp,1617.0
4eef,2fk0,1058.0
4eef,4m4y,1504.0
4eef,4kvn,587.0
4eef,4bsb,548.5
4eef,3hmg,614.5
4eef,4mhi,1072.0
4eef,3hto,1617.0
4eef,4mhj,1063.0
4eef,4fqy,616.5
4eef,4n64,548.5
