H10	H1s	1.850	1.850	0.043	0.897	0.897	0.003	4788
H10	H3Nx	1.944	1.940	0.044	0.912	0.912	0.003	702
H10	H5Nx	2.615	2.580	0.186	0.868	0.871	0.014	2106
H10	H1N1_42	2.177	2.180	0.024	0.869	0.869	0.001	774
H10	H9	2.432	2.420	0.129	0.869	0.870	0.010	1116
H10	H2Nx	2.640	2.640	0.120	0.868	0.869	0.009	810
H10	H5Nx_51	2.082	2.080	0.018	0.881	0.880	0.002	882
H1s	H1s	0.510	0.510	0.161	0.993	0.994	0.005	35245
H1s	H3Nx	1.930	1.920	0.045	0.888	0.889	0.003	10374
H1s	H5Nx	0.878	0.850	0.103	0.973	0.974	0.005	31122
H1N1_42	H1s	0.893	0.890	0.097	0.982	0.982	0.004	11438
H1s	H9	1.526	1.520	0.070	0.912	0.912	0.003	16492
H1s	H2Nx	1.062	1.070	0.068	0.961	0.961	0.003	11970
H1s	H5Nx_51	0.880	0.850	0.104	0.973	0.974	0.005	13034
H3Nx	H3Nx	0.216	0.210	0.066	0.999	0.999	0.001	741
H3Nx	H5Nx	2.320	2.320	0.055	0.894	0.894	0.004	4563
H1N1_42	H3Nx	2.123	2.120	0.022	0.876	0.876	0.002	1677
H3Nx	H9	2.121	2.120	0.085	0.889	0.889	0.006	2418
H2Nx	H3Nx	2.448	2.450	0.057	0.885	0.885	0.004	1755
H3Nx	H5Nx_51	2.076	2.080	0.026	0.884	0.884	0.002	1911
H5Nx	H5Nx	1.057	1.060	0.250	0.973	0.974	0.013	6786
H1N1_42	H5Nx	1.109	1.110	0.015	0.969	0.970	0.002	5031
H5Nx	H9	2.140	2.100	0.221	0.904	0.909	0.017	7254
H2Nx	H5Nx	1.478	1.420	0.261	0.957	0.961	0.015	5265
H5Nx	H5Nx_51	0.195	0.200	0.036	0.998	0.999	0.001	5733
H1N1_42	H1N1_42	0.167	0.160	0.030	0.999	0.999	0.000	903
H1N1_42	H9	1.630	1.630	0.017	0.912	0.912	0.001	2666
H1N1_42	H2Nx	1.048	1.050	0.017	0.963	0.963	0.001	1935
H1N1_42	H5Nx_51	1.113	1.110	0.014	0.974	0.974	0.001	2107
H9	H9	0.960	0.950	0.265	0.981	0.983	0.009	1891
H2Nx	H9	2.156	2.130	0.148	0.908	0.910	0.010	2790
H5Nx_51	H9	1.518	1.520	0.018	0.915	0.915	0.002	3038
H2Nx	H2Nx	0.866	0.830	0.347	0.984	0.988	0.012	990
H2Nx	H5Nx_51	1.065	1.060	0.014	0.971	0.971	0.002	2205
H5Nx_51	H5Nx_51	0.196	0.200	0.039	0.999	0.999	0.000	1176
