id,chain,host,location,year,subtype,continent
ACM80372,A,swine,Thailand,2005.0,H3N2,Asia
ACN33090,A,,Ohio,2007.0,H1N1,North America
ACN39410,A,avian,Anhui,2007.0,H5N1,Asia
ACN67524,A,swine,Belgium,1998.0,H1N1,Europe
ACN90987,A,swine,Tainan,2003.0,H3N1,Asia
ACN90994,A,swine,Pingtung,1999.0,H1N2,Asia
ACO07033,A,avian,Vietnam,2008.0,H5N1,Asia
ACO07038,A,avian,Vietnam,2008.0,H5N1,Asia
ACO07043,A,avian,Vietnam,2008.0,H5N1,Asia
ACO07051,A,swine,Tainan,2005.0,H1N2,Asia
ACO95226,A,,Hong Kong,2005.0,H3N2,Asia
ACO95270,A,,Brisbane,2007.0,H3N2,Oceania
ACQ65691,A,,Taiwan,2007.0,H3N2,Asia
ACR26715,A,swine,North Carolina,2003.0,H1N1,North America
ACR39190,A,swine,Groitzsch,2007.0,H1N2,Europe
ACR48872,A,,Indonesia,2005.0,H5N1,Asia
ACR49193,A,avian,East Java,2006.0,H5N1,Asia
ACR56228,A,avian,Egypt,2008.0,H5N1,Africa
ACR81633,A,,Paris,2009.0,H1N1,Europe
ACS71656,A,,Mexico,2009.0,H1N1,North America
ACS78026,A,,New York,2009.0,H1N1,North America
ACT15320,A,,Egypt,2009.0,H5N1,Africa
ACT15355,A,,Egypt,2009.0,H5N1,Africa
ACT20893,A,avian,Tyva,2009.0,H5N1,Asia
ACT21466,A,,New York,1998.0,H3N2,North America
ACT33159,A,swine,Alberta,2009.0,H1N1,North America
ACT67801,A,,New Hampshire,2009.0,H3N2,North America
ACT97067,A,swine,Tianjin,2004.0,H1N2,Asia
ACU12494,A,,Siena,1991.0,H3N2,Europe
ACU13094,A,,Texas,2009.0,H1N1,North America
ACU43765,A,,Texas,2008.0,H1N1,North America
ACU44038,A,,Kentucky,2009.0,H1N1,North America
ACU44361,A,,Arizona,2009.0,H1N1,North America
ACU44395,A,,Wisconsin,2009.0,H1N1,North America
ACU44406,A,,Minnesota,2009.0,H1N1,North America
ACU46644,A,,Thailand,2006.0,H5N1,Asia
ACU46717,A,swine,Guangdong,2002.0,H3N2,Asia
ACU80014,A,,New Jersey,1976.0,H1N1,North America
ACU82395,A,swine,Sweden,2009.0,H1N2,Europe
ACV42073,A,swine,Oklahoma,2009.0,H3N2,North America
ACV42106,A,swine,Oklahoma,2007.0,H3N2,North America
ACV49556,A,,Melbourne,1946.0,H1N1,North America
ACV49600,A,,Japan,1957.0,H2N2,Asia
ACV70734,A,,Wisconsin,2009.0,H1N1,North America
ACV90543,A,avian,New York,2007.0,H5N2,North America
ACV90903,A,avian,Montana,2006.0,H5N2,North America
ACV91043,A,avian,Minnesota,2006.0,H5N2,North America
ACX31973,A,avian,Egypt,2009.0,H5N1,Africa
ACX31981,A,avian,Egypt,2009.0,H5N1,Africa
ACX31993,A,avian,Egypt,2009.0,H5N1,Africa
ACX36501,A,,Singapore,2009.0,H1N1,Asia
ACX48061,A,swine,Bavaria,2007.0,H5N1,Europe
ACY06456,A,swine,Fujian,2007.0,H3N2,Asia
ACY06458,A,swine,Shandong,2007.0,H3N2,Asia
ACY06459,A,swine,Guangdong,2006.0,H3N2,Asia
ACY06623,A,swine,Hubei,2009.0,H1N1,Asia
ACY25797,A,avian,Iran,2007.0,H9N2,Asia
ACY25801,A,avian,Iran,2007.0,H9N2,Asia
ACY25803,A,avian,Iran,2007.0,H9N2,Asia
ACY67022,A,swine,Iowa,2003.0,H3N2,North America
ACY80644,A,avian,NV,2006.0,H5N2,North America
ACZ05568,A,,New York,2009.0,H1N1,North America
ACZ16520,A,,Wisconsin,2009.0,H1N1,North America
ACZ48510,A,avian,Viet Nam,2001.0,H5N1,Asia
ACZ48594,A,avian,Pakistan,2004.0,H7N3,Asia
ACZ48608,A,avian,Italy,1999.0,H7N1,Europe
ACZ53956,A,swine,Jilin,2007.0,H3N2,Asia
ACZ53978,A,swine,Jilin,2008.0,H3N2,Asia
ACZ58384,A,avian,Crimea,2008.0,H7N8,Europe
ACZ61118,A,,Parana,2009.0,H1N1,South America
ACZ81556,A,,Thailand,2009.0,H1N1,Asia
ACZ96889,A,,Brownsville,2009.0,H1N1,North America
ADA83043,A,,Novgorod,2009.0,H1N1,Europe
ADB81439,A,,Russia,2009.0,H1N1,Europe
ADB82656,A,swine,Thailand,2009.0,H1N2,Asia
ADB89281,A,,California,2009.0,H1N1,North America
ADC29463,A,avian,Korea,2004.0,H5N2,Asia
ADC45659,A,,Hokkaido,2007.0,H1N1,Asia
ADC45670,A,,Hyogo,2007.0,H1N1,Asia
ADC45813,A,,Kyoto,2009.0,H1N1,Asia
ADC97015,A,avian,Shandong,2008.0,H5N1,Asia
ADD10558,A,avian,Eastern China,2008.0,H5N1,Asia
ADD21428,A,swine,Indonesia,2004.0,H3N1,Asia
ADD21467,A,swine,Fujian,2008.0,H1N1,Asia
ADD21560,A,,Kansas,2009.0,H3N2,North America
ADD23162,A,,San Diego,2009.0,H1N1,North America
ADD96936,A,,San Diego,2009.0,H1N1,North America
ADE75148,A,avian,Sweden,2002.0,H1N2,Europe
ADF58349,A,,GermanyBY,2009.0,H1N1,Europe
ADF83497,A,swine,Guangdong,2009.0,H1N1,Asia
ADF83650,A,,Vietnam,2008.0,H5N1,Asia
ADG08198,A,swine,Hong Kong,2009.0,H1N1,Asia
ADG08308,A,swine,Hong Kong,2009.0,H1N1,Asia
ADG21416,A,,Egypt,2009.0,H5N1,Africa
ADG21437,A,,Egypt,2010.0,H5N1,Africa
ADG21441,A,,Egypt,2010.0,H5N1,Africa
ADG21445,A,,Egypt,2010.0,H5N1,Africa
ADG28681,A,avian,Egypt,2008.0,H5N1,Africa
ADG28683,A,avian,Egypt,2008.0,H5N1,Africa
ADG59044,A,swine,Guangdong,2010.0,H1N1,Asia
ADG59049,A,avian,Shandong,2006.0,H5N1,Asia
ADG59054,A,avian,Liaoning,2007.0,H5N1,Asia
ADG59055,A,avian,Guizhou,2008.0,H5N1,Asia
ADG59060,A,avian,Liaoning,2006.0,H5N1,Asia
ADG59063,A,avian,Tibet,2006.0,H5N1,Asia
ADG59064,A,avian,Hunan,2007.0,H5N1,Asia
ADG59067,A,avian,Xinjiang,2006.0,H5N1,Asia
ADG59070,A,avian,Xinjiang,2005.0,H5N1,Asia
ADG59089,A,avian,Shanxi,2006.0,H5N1,Asia
ADG59090,A,avian,Hunan,2004.0,H5N1,Asia
ADG85225,A,swine,NC,2010.0,H1N1,North America
ADG85233,A,swine,IN,2010.0,H1N1,North America
ADG85794,A,swine,Minnesota,2010.0,H1N1,North America
ADI34060,A,avian,Karachi,2004.0,H7N3,Asia
ADI34061,A,avian,Chakwal,2004.0,H7N3,Asia
ADI46319,A,swine,East Java,2007.0,H5N1,Asia
ADI46320,A,swine,East Java,2007.0,H5N1,Asia
ADI52834,A,avian,Ontario,2009.0,H1N1,North America
ADI52836,A,avian,Ontario,2009.0,H1N1,North America
ADI52837,A,avian,Ontario,2009.0,H1N1,North America
ADJ18171,A,,Iran,2009.0,H1N1,Asia
ADJ38087,A,swine,Iowa,2010.0,H1N1,North America
ADJ41816,A,,Philippines,1982.0,H3N2,Asia
ADJ80234,A,swine,Sweden,2010.0,H1N2,Europe
ADK26592,A,swine,Illinois,2010.0,H1N2,North America
ADK48778,A,swine,Italy,2010.0,H1N2,Europe
ADK56450,A,avian,Guangzhou,2005.0,H9N2,Asia
ADK89127,A,swine,Heilongjiang,2007.0,H3N2,Asia
ADL32414,A,,Madrid,2009.0,H1N1,Europe
ADL64047,A,avian,Chandigarh,2003.0,H9N2,Asia
ADM23842,A,,Alagoas,2010.0,H1N1,South America
ADM23846,A,,Alagoas,2010.0,H1N1,South America
ADM23847,A,,Alagoas,2010.0,H1N1,South America
ADM23851,A,,Bahia,2010.0,H1N1,South America
ADM33949,A,avian,Bangladesh,2010.0,H5N1,Asia
ADM85846,A,avian,Egypt,2010.0,H5N1,Africa
ADM85857,A,avian,Egypt,2010.0,H5N1,Africa
ADM85867,A,avian,Egypt,2010.0,H5N1,Africa
ADM95450,A,avian,Cambodia,2007.0,H5N1,Asia
ADN89270,A,,California,2009.0,H1N1,North America
ADN92778,A,,Taiwan,2008.0,H1N1,Asia
ADO14359,A,,Belgorod,2009.0,H1N1,Europe
ADO14466,A,avian,Shandong,2008.0,H9N2,Asia
ADO29901,A,,Qingdao,2009.0,H1N1,Asia
ADO29908,A,,Qingdao,2010.0,H1N1,Asia
ADO34927,A,swine,Missouri,2009.0,H1N1,North America
ADO65971,A,swine,Argentina,2010.0,H1N2,South America
ADP05197,A,avian,Fujian,2007.0,H9N2,Asia
ADP05204,A,swine,Iowa,2009.0,H1N1,North America
ADP05208,A,swine,North Carolina,2009.0,H1N2,North America
ADP69273,A,avian,Emirates,2002.0,H9N2,Asia
ADQ92582,A,avian,Delaware,2007.0,H5N1,North America
ADR01746,A,swine,Italy,2010.0,H1N2,Europe
ADR51661,A,swine,Italy,2002.0,H1N2,Europe
ADR51662,A,swine,Italy,1999.0,H1N2,Europe
ADR51668,A,swine,Italy,2009.0,H1N2,Europe
ADR51669,A,swine,Italy,2008.0,H1N2,Europe
ADT64317,A,swine,Jangsu,2010.0,H1N1,Asia
ADT64860,A,avian,Victoria,1981.0,H1N1,North America
ADT64868,A,avian,Victoria,1981.0,H5N2,North America
ADT78908,A,,Netherlands,1953.0,H1N1,Europe
ADT78936,A,,Netherlands,1951.0,H1N1,Europe
ADT78961,A,,Netherlands,1960.0,H2N2,Europe
ADT79030,A,,Netherlands,1982.0,H3N2,Europe
ADT79129,A,,Nijmegen,1959.0,H2N2,Europe
ADT79161,A,swine,Italy,1981.0,H3N2,Europe
ADU25478,A,,Switzerland,2010.0,H1N1,Europe
ADU53614,A,avian,Interior Alaska,2008.0,H1N1,North America
ADU85891,A,swine,Italy,2009.0,H1N2,Europe
ADU85893,A,swine,Italy,2009.0,H1N2,Europe
ADU85894,A,swine,Italy,1998.0,H1N2,Europe
ADV02479,A,swine,KU,2001.0,H7N2,Asia
ADV19281,A,swine,Guangdong,2010.0,H1N2,Asia
ADV58875,A,avian,BC,2005.0,H3N2,North America
ADV58876,A,avian,QC,2008.0,H3N2,North America
ADV58880,A,swine,QC,2009.0,H3N2,North America
