id,chain,host,location,year,subtype
ACA28846,A,,Brisbane,2007,H1N1
ACA33674,A,,Delaware,2007,H3N2
ACA33732,A,,Texas,2007,H1N1
ACA33752,A,,Minnesota,2007,H1N1
ACA50026,A,avian,Iran,2007,H9N2
ACA50030,A,avian,Iran,1999,H9N2
ACB11782,A,,New Mexico,2008,H1N1
ACB11812,A,,Hawaii,2007,H1N1
ACB36678,A,giant anteater,Tennessee,2007,H1N1
ACB70647,A,avian,Vietnam,2007,H5N1
ACD12172,A,avian,Hong Kong,1979,H9N2
ACD12274,A,avian,Thailand,2006,H5N1
ACD35865,A,avian,Minnesota,2005,H3N2
ACD35872,A,avian,North Carolina,2005,H3N2
ACD56302,A,,North Carolina,1968,H2N2
ACD56313,A,,Korea,1968,H2N2
ACD56324,A,,Moscow,1965,H2N2
ACD85198,A,,Potsdam,1965,H2N2
ACD88648,A,avian,North Carolina,2005,H3N2
ACE77927,A,swine,Korea,2004,H1N1
ACE77933,A,swine,Korea,2006,H1N2
ACE77937,A,swine,Korea,2007,H1N2
ACE77938,A,swine,Korea,2004,H3N2
ACE77939,A,swine,Korea,2005,H3N2
ACE77942,A,swine,Korea,2007,H3N2
ACE77944,A,swine,Korea,2007,H3N2
ACE77946,A,swine,Korea,2007,H3N2
ACF20226,A,avian,California,1999,H10N7
ACF22148,A,,Yucatan,2003,H3N2
ACF24987,A,avian,Minnesota,1999,H3N5
ACF25543,A,avian,Minnesota,2005,H3N2
ACF25596,A,avian,IA,1992,H1N1
ACF25627,A,emu,NY,1994,H5N9
ACF25679,A,avian,Minnesota,1987,H5N2
ACF36262,A,,Hong Kong,2000,H3N2
ACF36396,A,,Hong Kong,2001,H3N2
ACF36398,A,,Hong Kong,2001,H3N2
ACF36458,A,,Hong Kong,2005,H3N2
ACF41834,A,,Puerto Rico,1934,H1N1
ACF41900,A,,New York,2004,H3N2
ACF41933,A,,Texas,1991,H1N1
ACF47409,A,avian,California,2007,H3N5
ACF47420,A,avian,California,2007,H2N7
ACF47464,A,avian,California,2007,H3N7
ACF54389,A,,Georgia,1967,H2N2
ACF54565,A,,Wyoming,2003,H3N2
ACF74233,A,avian,California,2007,H10N7
ACF74243,A,avian,California,2007,H5N7
ACF93481,A,avian,Haryana,2003,H9N2
ACF93484,A,avian,Gujarat,2004,H9N2
ACF93486,A,avian,Guangdong,2007,H9N2
ACH95448,A,avian,Henan,2001,H9N2
ACH95456,A,avian,Fujian,2002,H9N2
ACH95660,A,swine,Anhui,2006,H3N8
ACI06178,A,,Cambodia,2007,H5N1
ACI26560,A,,Siena,1990,H3N2
ACI26571,A,,Siena,1990,H3N2
ACI26593,A,,Siena,1991,H3N2
ACI32741,A,,BadenWuerttemberg,2003,H1N2
ACI41126,A,avian,NakornSawan,2005,H5N1
ACI45446,A,,Cambodia,2007,H1N1
ACJ26341,A,avian,Hong Kong,2008,H5N1
ACJ26374,A,avian,Hong Kong,2008,H5N1
ACJ73766,A,,Texas,2008,H1N1
ACK99476,A,,Siena,1997,H3N2
ACL79904,A,swine,Minnesota,2007,H1N1
ACL80025,A,avian,North Carolina,1993,H7N1
ACM17265,A,swine,NC,2005,H1N1
ACM51329,A,,South Carolina,2008,H1N1
ACM80372,A,swine,Thailand,2005,H3N2
ACN33090,A,,Ohio,2007,H1N1
ACN39410,A,avian,Anhui,2007,H5N1
ACN67524,A,swine,Belgium,1998,H1N1
ACN90987,A,swine,Tainan,2003,H3N1
ACN90994,A,swine,Pingtung,1999,H1N2
ACO07033,A,avian,Vietnam,2008,H5N1
ACO07038,A,avian,Vietnam,2008,H5N1
ACO07043,A,avian,Vietnam,2008,H5N1
ACO07051,A,swine,Tainan,2005,H1N2
ACO95226,A,,Hong Kong,2005,H3N2
ACO95270,A,,Brisbane,2007,H3N2
ACQ65691,A,,Taiwan,2007,H3N2
ACR26715,A,swine,North Carolina,2003,H1N1
ACR39190,A,swine,Groitzsch,2007,H1N2
ACR48872,A,,Indonesia,2005,H5N1
ACR49193,A,avian,East Java,2006,H5N1
ACR56228,A,avian,Egypt,2008,H5N1
ACR81633,A,,Paris,2009,H1N1
ACS71656,A,,Mexico,2009,H1N1
