p_id,sero
ABF60578,H3N2
AGG27863,H10N7
ACF93481,H9N2
ADI46319,H5N1
AIB06034,H1N1
AHD25066,H1N1
ADX31858,H1N1
AHM97626,H1N1
CY047899,H1N1
AEI30056,H1N1
AHM97674,H5N5
AAT12704,H3N2
ACJ73766,H1N1
AFG72096,H3N2
CAA24271,H3N8
AEX30519,H1N2
ADV69097,H1N2
AFJ19065,H1N2
ACX31981,H5N1
ABI84588,H2N3
ADW93789,H1N1
AFH00076,H3N2
ADT64860,H1N1
AEN02518,H9N2
ACF36396,H3N2
AGL07673,H3N2
AFM09428,H2N5
ABU92710,H3N2
AEI30055,H1N1
AFM08891,H5N2
ACR26715,H1N1
ACD56302,H2N2
AEX38474,H1N1
ADG85794,H1N1
AFH00725,H3N2
ACL79904,H1N1
AFU08812,H1N2
AHL82087,H3N2
ABO32992,H1N1
AHB23011,H1N1
AGL57968,H9N2
AHB24776,H3N2
AGZ61211,H3N2
AHB51172,H1N1
AGG86729,H1N2
BAG28227,H3N2
ABO44057,H2N2
AAA43090,H2N2
AHY95104,H1N1
AFM68954,H1N1
AFC98273,H1N2
JQ277225,H5N1
AFO66147,H1N1
AHZ65725,H1N2
AGI02552,H3N2
ADO14466,H9N2
ABO52071,H3N2
ACF47409,H3N5
ADX31845,H1N2
AFM09320,H3N8
AFH53725,H3N2
AFH53736,H3N2
AGG83064,H7N7
AEQ61287,H1N1
BAN79067,H5N1
ADM85867,H5N1
BAF49415,H2N3
AAA43678,H2N2
ABB04906,H3N2
ABS53372,H1N2
ADW01407,H1N1
GU727669,H5N1
AHB21219,H1N2
AGO86678,H1N1
AFV33742,H3N2
AIA24435,H1N2
AFU09064,H1N2
AFM93986,H1N1
AGO59894,H1N2
ABI54388,H3N1
AHJ02888,H1N1
AFJ76186,H1N1
ADG59064,H5N1
ADT79129,H2N2
AGT18721,H1N1
AGT18723,H1N1
AFH76964,H1N1
AFI73231,H9N2
AB741566,H5N1
AGL06857,H3N2
AHL58744,H3N2
AGL04214,H1N2
ACX31973,H5N1
ABK57093,H1N1
ACH95448,H9N2
CAB95856,H9N2
ACN67524,H1N1
CY099592,H5N1
AHZ65769,H1N2
ADU85894,H1N2
AGK73228,H1N1
AGZ60429,H3N2
JN187143,H1N1
ACF36398,H3N2
ABC72655,H5N1
AHB22579,H1N1
ACD35872,H3N2
AHB21628,H1N1
AFR76707,H1N1
ABS71668,H1N1
CY054731,H1N1
AGY14421,H1N2
ABI20826,H1N1
ACZ53956,H3N2
AEN68577,H1N2
ACI32741,H1N2
ACL80025,H7N1
AFU08944,H3N2
AEA29595,H1N1
AHB22939,H3N2
ABC69150,H5N1
ACU82395,H1N2
AEK86047,H1N1
AHB22975,H3N2
ACF54565,H3N2
ACF41933,H1N1
JN187147,H1N1
AGL60617,H10N7
AGO51411,H3N2
AHZ59311,H9N2
ABG34254,H1N2
AAD25312,H1N1
AGG86711,H1N1
ADI52836,H1N1
AHM24191,H1N1
ADG59090,H5N1
AGZ61248,H3N2
AFO65016,H1N1
AFM93978,H3N2
AB551875,H1N1
AGL04311,H1N1
AHY95096,H3N2
AHM98204,H5N5
AFR76696,H1N1
CY095686,H5N1
ACV91043,H5N2
AGJ73386,H1N1
AGI41250,H1N2
CCQ71983,H1N2
ABW91526,H1N1
AAC59602,H3N2
ACY06456,H3N2
AHZ65633,H1N2
AFG98940,H3N2
AHG26737,H1N2
BAO56967,H3N6
ADM23847,H1N1
AGB84833,H1N1
ADI34061,H7N3
AGE83982,H1N2
AAC54380,H7N3
AFW18314,H5N1
AFP36183,H1N1
AEX30517,H1N1
AFW18325,H5N1
AHZ65737,H1N1
AHB51316,H3N2
AGS08781,H1N1
AGM53491,H3N2
AHA38580,H1N1
GQ184223,H5N1
JQ065159,H1N1
AFG99006,H3N2
AAL29715,H1N2
ABB18025,H2N5
ACU43765,H1N1
AHF20428,H5N1
ABF21278,H1N1
AHM24301,H1N1
ACF25596,H1N1
ABN51066,H1N1
CY070737,H1N1
CY110738,H5N1
ACU44361,H1N1
AGN69629,H1N2
AAD05218,H1N2
ADE75148,H1N2
ACE77939,H3N2
ADY72576,H1N2
ACK99476,H3N2
ABI20958,H3N2
AFR76344,H1N2
ACJ26374,H5N1
DQ371929,H5N1
AGL96912,H1N1
ADI52837,H1N1
AFX65229,H1N1
AFU08704,H1N2
AHW46596,H1N1
FJ784842,H5N1
AHM24289,H1N1
AEZ01103,H1N1
AFX65236,H1N2
ACF54389,H2N2
AEP17308,H3N2
AGO17883,H9N2
AHD25285,H1N2
AFU08828,H3N2
AHB72968,H9N2
ACT15355,H5N1
AGW83306,H1N1
AFR76173,H1N2
ABW80976,H3N2
BAN14734,H1N2
ADD21428,H3N1
ADY71223,H1N2
AFR42694,H3N2
AGB84799,H5N1
AFG99501,H3N2
AHJ02873,H1N2
JQ396219,H1N1
AGM53496,H3N2
BAO74193,H5N8
AFL56787,H1N1
AGT37102,H1N2
AFV31487,H3N2
AFH00329,H3N2
AGZ61154,H3N2
AGG53498,H7N7
AHZ65765,H3N2
AFZ15807,H1N1
AHI43338,H1N2
AFO64835,H1N1
ADC45659,H1N1
AEX35428,H3N2
AHA98453,H3N2
ACD56324,H2N2
AFU10042,H3N2
ABD73284,H5N1
AGA19337,H1N1
ACD85198,H2N2
AGZ62339,H1N1
AB629713,H5N1
AHL81541,H1N2
AAK71687,H1N2
ACF25627,H5N9
AEA29582,H1N1
CY069114,H1N1
AFR76505,H1N1
ADM85846,H5N1
ACE77942,H3N2
AGF37648,H1N1
CY116654,H5N1
