AFH76959,A,swine,Minnesota,2011
AEZ54197,A,swine,Iowa,2011
AFV53293,A,-,Ned,1963
AHN96602,A,avian,Iowa,2013
AEX30519,A,swine,Henan,2010
AGC13633,A,swine,South Dakota,2012
ABI54388,A,swine,Korea,2006
ACY67022,A,swine,Iowa,2003
AFQ60210,A,-,Egypt,2012
AEP17308,A,avian,Ontario,2011
AFN06490,A,swine,Zhejiang,2008
AHB72968,A,avian,Egypt,2013
AFU10181,A,swine,Minnesota,2011
AFJ76186,A,-,Malaysia,2009
ACI26593,A,-,Siena,1991
AGN69613,A,swine,North Carolina,2013
AGZ60429,A,-,New Hampshire,2012
AHG26737,A,swine,Oklahoma,2013
AEM75431,A,avian,Mississippi,2010
ACN90994,A,swine,Pingtung,1999
ABP49327,A,-,AA,1945
ACE77927,A,swine,Korea,2004
AEN68581,A,swine,Italy,2010
BAM62981,A,swine,Chonburi,2011
ADM33949,A,avian,Bangladesh,2010
AHW46681,A,swine,Iowa,2014
AGL60617,A,avian,New Jersey,2009
AGL07410,A,-,Hawaii,2012
AGE83982,A,swine,Korea,2011
AFW18314,A,avian,Giza,2008
AGF69071,A,swine,South Dakota,2013
ABQ97200,A,-,Hong Kong,1968
ABQ97202,A,swine,Leipzig,1992
ACA33752,A,-,Minnesota,2007
AFO64868,A,-,Shanghai,1996
AGH25310,A,swine,Jiangsu,2009
AHN96650,A,avian,Ohio,2013
ADW93789,A,swine,Costa Rica,2010
AGL04214,A,avian,Newfoundland,2011
AGO00337,A,-,PAL,-
AFJ78364,A,-,Malaysia,1997
AGO86678,A,swine,Minnesota,2013
AFQ34707,A,swine,Mexico,2010
ACH95660,A,swine,Anhui,2006
CAA29337,A,-,England,1977
ADT79129,A,-,Nijmegen,1959
AAA43243,A,avian,Hong Kong,1978
AEP17277,A,swine,Iowa,2011
ACZ61118,A,-,Parana,2009
ABO38340,A,-,Chile,1983
AHB20856,A,swine,Tennessee,2004
AHI43338,A,swine,Illinois,2013
AHZ39487,A,avian,Republic of Georgia,2012
AFG98863,A,-,England,1972
AHN97178,A,avian,Wisconsin,2013
ACV90903,A,avian,Montana,2006
ABK00132,A,swine,Anhui,2004
AFO83274,A,avian,Hungary,2001
AHC69182,A,avian,Bangladesh,2012
AGT18748,A,-,Kenya,2012
ABC69150,A,avian,Hebei,2002
AHI97714,A,swine,Thailand,2012
ACL79904,A,swine,Minnesota,2007
AHB23035,A,swine,North Carolina,2007
ACT33159,A,swine,Alberta,2009
BAN79067,A,avian,Vietnam,2013
ACF47420,A,avian,California,2007
AHB23071,A,swine,Arkansas,2009
AEO01709,A,-,Mexico,2008
AFX65259,A,swine,Illinois,2012
AHW83226,A,-,Pavia,2014
AHW46596,A,swine,Oklahoma,2014
AFX65251,A,swine,North Carolina,2012
CAC86610,A,swine,Cotes d'Armor,1999
AGL04337,A,swine,Denmark,2003
AGZ61263,A,-,Mississippi,2012
ACF54565,A,-,Wyoming,2003
AEO01499,A,-,England,2009
AHF20501,A,swine,Illinois,2013
AFV53314,A,-,Ann Arbor,1960
AFO66147,A,-,Chile,2000
ADL32414,A,-,Madrid,2009
ABG48181,A,-,Waikato,2002
AFH00098,A,-,Lyon,1993
AAA43185,A,-,Japan,1957
ACZ81556,A,-,Thailand,2009
AEH42785,A,swine,Hubei,2009
ABD59847,A,-,Taiwan,1996
AEX34650,A,-,HaNoi,2005
BAN66743,A,avian,Vietnam,2013
ACZ16520,A,-,Wisconsin,2009
ABI84588,A,avian,Germany,1973
AHZ65725,A,swine,Iowa,2014
BAM37808,A,-,Tottori,2011
ABB88369,A,avian,Ukraine,1963
ADY80044,A,swine,Indiana,2010
AAA43678,A,-,Singapore,1957
AFU09053,A,swine,Italy,2011
ADT78961,A,-,Netherlands,1960
AHY95096,A,swine,Illinois,2014
AEO89145,A,-,Xinjiang,2009
ACO95226,A,-,Hong Kong,2005
AEF33066,A,swine,Illinois,2010
ACF36398,A,-,Hong Kong,2001
ACF36396,A,-,Hong Kong,2001
ACR49193,A,avian,East Java,2006
AFU10169,A,swine,Illinois,2011
ABJ16565,A,avian,Maryland,2002
AGO87255,A,avian,Hunan,2011
AFU08828,A,swine,Illinois,2012
